repository,language,community,continuous_integration,documentation,history,management,license,unit_test,pull,dependency,releases,size,weight-based score,Engineered Project
dverstap/jsmiparser,Java,1,1,0.228781394,1.307692308,0.041958042,1,0.076104972,1,0,1,19100,30,project
kaosat-dev/CoffeeSCad,JavaScript,1,0,0.088139132,7.317460317,2.444444444,1,0,1,1,1,372052,50,project
stripe/jquery.payment,CoffeeScript,14,1,0.038892163,4.618181818,2.690909091,1,0,1,0.363636364,1,3262,60,project
milliondreams/socket.io.play,Scala,4,0,0.062695925,3.823529412,0.705882353,1,0,0.846153846,0,0,1196,30,project
wzr1337/angular-gestures,JavaScript,8,0,0.023916533,0.976744186,0.418604651,1,0,1,0.111111111,0,12162,40,project
nomad/venice,Ruby,10,1,0.060337178,1.566666667,0.277777778,1,0.465142857,0.961904762,1,1,2118,50,project
apache/cordova-plugin-file,JavaScript,28,1,0.229389176,7.685393258,1.617977528,1,0,0.884097035,0.148148148,0,25686,70,project
coreos/docs,Shell,35,0,0.001028202,32.21333333,3.4,1,0,0.988272921,1,0,27204,60,project
pierreozoux/packer-warehouse,Shell,1,0,0.105643994,6.5,0.5,1,0,1,0.066666667,0,1236,50,project
cloudfoundry/cli,Go,58,1,0.061385249,135.9880952,1.142857143,1,0,0.984684685,0.166666667,1,2587346,60,project
myui/hivemall,NULL,1,0,0,43.89473684,2.684210526,1,0,0.998102467,0,1,36,30,project
vinted/jenkins-nitro,Ruby,2,0,0.008982036,18.5,0.5,1,0,1,0,1,662,30,project
soulmachine/leetcode,TeX,3,0,0.002588997,3.888888889,1.244444444,1,0,0.847222222,0,0,21574,30,project
BVLC/caffe,C++,12,1,0.322191032,53.97402597,11.14285714,1,0.640271456,0,0,0,162746,65,project
wurstmeister/kafka-docker,Shell,20,1,0.081750619,2.911392405,5.417721519,1,0,0.925925926,0.333333333,0,2224,50,project
hexojs/site,CSS,232,1,0.000459915,24.81914894,1.085106383,1,0,0,0.551020408,0,69546,55,project
chjj/termcoin,JavaScript,1,0,0.086524447,8.6,0.566666667,1,0,1,1,0,13788,50,project
pbreault/adb-idea,Kotlin,2,0,0.039541321,1.901234568,1.259259259,1,0,0.676470588,0.5,1,4858,20,project
mixerp/plpgunit,PLpgSQL,4,0,0.039039039,1.333333333,0.333333333,1,0,1,0,0,1920,10,project
LoyVanBeek/wit_ros,Python,2,1,0.258675079,1.537037037,0.092592593,1,0,1,0,0,470,20,project
apache/cordova-plugin-statusbar,Objective-C,25,1,0.088607595,3.402439024,0.768292683,1,0,0.950276243,0.007267442,0,6768,70,project
IBMStreams/streamsx.hbase,Java,5,0,0.143690513,5.092105263,0.934210526,1,0,1,0,1,11156,60,project
bytedeco/javacpp-presets,Java,1,1,0.309515577,14.61445783,8.710843373,1,0,0.976253298,1,1,1777300,50,project
ceejatec/git-gerrit,Shell,2,0,0.128712871,0.62962963,0,1,0,0.75,0,0,704,15,project
brooklyncentral/advanced-networking,Java,5,1,0.171144645,4.794117647,0.044117647,1,0.308805188,0.9875,0,0,18016,70,project
KylinOLAP/Kylin,Java,6,0,0.198638183,58.14705882,6.764705882,1,0.142507062,0.987951807,0.2,0,207370,80,project
spark-jobserver/spark-jobserver,Scala,27,1,0.098146944,23.09090909,10.25974026,1,0,0.994736842,0.157894737,0,55482,70,project
bosun-monitor/bosun,Go,3,1,0.109501402,50.91358025,4.012345679,1,0,0.906825569,0,1,245254,40,project
angular-dragdrop/angular-dragdrop,JavaScript,13,1,0.007326007,3.648148148,2.055555556,1,0,0.984496124,0.444444444,0,1626,60,project
rancher/ui,JavaScript,5,0,0.032375906,155.8235294,0.176470588,1,0,0,0.314814815,1,539822,55,project
corynissen/fitbitScraper,R,2,0,0.256684492,6.653846154,0.538461538,1,0,0.833333333,0,0,834,40,project
zendesk/maxwell,Java,10,0,0.032480798,42.38666667,10.66666667,1,0.281911034,0.975053457,0.090909091,0,47362,70,project
adiyoss/Chroma,Java,1,0,0.334519573,0.549019608,0,1,0,1,0,0,1122,15,project
Ant-Grand/Grand,Java,2,1,0.395317759,2.416243655,0.015228426,1,0.284456848,1,0,1,24434,30,project
nkolban/jpigpio,Java,3,0,0.369072165,4.04,0.52,1,0,0.952380952,0,0,12240,40,project
boundary/meter-plugin-sdk-lua,Lua,1,1,0.173984632,5.153846154,0,1,0,1,0,0,3010,35,project
gscrot/gscrot,Java,1,0,0.087994034,18.3125,0.0625,1,0,1,0,0,4892,40,project
h2oai/h2o-2,Java,9,1,0.144565955,521.6451613,1.290322581,1,0.137654289,0.830769231,0.028825397,0,715574,80,project
Intel-bigdata/spark-streamingsql,Scala,2,0,0.349630472,4,0.529411765,1,0,0.909090909,0,0,2288,40,project
spring-cloud/spring-cloud-sleuth,Java,6,0,0.186394126,42.8,0.523076923,1,0.538276775,0.995169082,0.333333333,1,87090,80,project
transistorsoft/react-native-background-geolocation,Objective-C,1,0,0.250295047,9.625,15.484375,1,0,0.98828125,0.285714286,0,78770,50,project
fabric8io/ipaas-quickstarts,Java,8,0,0.186260152,45.72727273,3.781818182,1,0.264575972,0,0,0,12224,65,project
rcoedo/apcom,Go,2,0,0,4.5,0,1,0,1,0,0,88,25,project
jasongilman/proto-repl,CoffeeScript,2,0,0.546760895,15.9,9.133333333,1,0,0.902173913,0.1,0,19240,50,project
greenplum-db/gpdb,C,19,1,0.163136587,193.8310345,1.034482759,1,0.005339028,0,0.72,1,6139784,65,project
docker/kitematic,JavaScript,5,1,0.059992067,32.375,12.625,1,0,0.96359743,0.114218658,0,56878,60,project
Bodigrim/arithmoi,Haskell,4,1,0.231441936,11.41071429,0.8125,1,0,0.995495495,1,1,22674,50,project
hierynomus/smbj,Java,3,1,0.301627971,10.52830189,7.471698113,1,0,0.957792208,0.45,0,35434,50,project
RxSwiftCommunity/RxGesture,Swift,9,0,0.157289628,4.192307692,1.057692308,1,0.026927785,0.981481481,0,0,6890,70,project
MarkEdmondson1234/googleAnalyticsR,HTML,2,1,0.154117005,14,4.627118644,1,0,1,0.5,1,179696,50,project
apache/incubator-milagro-mfa-js-client,JavaScript,7,0,0.048923221,2.166666667,0.5,1,0,1,0.033333333,0,24378,40,project
mesosphere/dcos-cassandra-service,Java,10,0,0.130697873,35.04166667,4.25,1,0.204496279,0.977812995,0.485714286,0,65222,80,project
ef-labs/vertx-jersey,Java,1,1,0.262542671,7.929824561,1.175438596,1,0.409200551,1,0.375,0,14258,60,project
linhongseba/Temporal-Network-Embedding,C++,1,0,0.170832513,5.142857143,0.285714286,1,0.045156889,1,0,0,16852,50,project
turi-code/tutorials,Jupyter Notebook,7,0,0.972661405,8.1,0.3,1,0,1,0,0,6422,60,project
pixelfederation/druid-php,PHP,3,0,0.608027822,6.6875,0.25,1,0.142857143,0.964285714,0.375,0,5410,60,project
Hellsing/MasterMind,C#,2,0,0.12815338,2.5,0.166666667,1,0,1,0,0,5184,20,project
CyberReboot/vcontrol,Python,4,1,0.103195901,17.26086957,3.782608696,1,0.055410122,1,0,1,7352,50,project
confluentinc/cp-docker-images,Python,19,0,0.173154362,40.18,7.46,1,0.928353659,0.949324324,0.566037736,1,14784,80,project
daranzolin/rcanvas,R,3,0,0.219516946,2.765957447,0.446808511,1,0,1,0,0,8014,20,project
apache/geode-examples,Java,16,1,0.206481216,4.069767442,2.186046512,1,0.149281238,1,0,0,11068,70,project
apache/incubator-ariatosca-website,JavaScript,3,0,0.04494382,4.384615385,0.846153846,1,0,1,0.909090909,0,40630,40,project
typelevel/frameless,Scala,12,1,0.155516773,10.96923077,1.784615385,1,0,0.981034483,0.5,0,26130,70,project
vanita5/mastodon-api,JavaScript,3,1,0.181166837,1.903225806,0.225806452,1,0,0.842105263,0.818181818,0,1600,30,project
apache/openwhisk-client-go,Go,9,1,0.159339705,2.8,0.654545455,1,0,0.989473684,0.333333333,1,9676,50,project
apache/openwhisk-wskdeploy,Go,7,1,0.237569223,12.19565217,11.56521739,1,0,0.997180451,0.206185567,0,52042,70,project
hyperledger/indy-node,Python,14,0,0.041644238,104.4651163,0.209302326,1,0.008089368,0,0.048648649,0,145994,65,project
concertgenetics/logstash-filter-naxsi,Ruby,2,0,0.130718954,1.2,0,1,0.342465753,0.666666667,0,0,266,25,project
glinscott/leela-chess,C++,8,1,0.174794579,204.8,69,1,0.057743977,0.933870968,0,0,61864,70,project
tshprecher/antlr_psql,TSQL,1,0,0.360844693,4.35,0.35,1,0,0.972972973,0,0,75304,40,project
rails/rails,Ruby,134,0,0.135248907,411.031746,2.015873016,1,0.019930749,0,0.140186916,1,698034,75,project
joomla/joomla-cms,PHP,44,0,0.285005527,180.5251397,4.268156425,1,0.197846329,0,0.362962963,0,1415200,75,project
sebastianbergmann/phpunit,PHP,3,0,0.20663115,82.90588235,0.741176471,1,0.158740422,0.975886525,1,1,360986,60,project
nutzam/nutz,Java,2,1,0.23650289,44.37410072,0.273381295,1,0.190560844,0.988372093,0.4375,0,211336,60,project
jquery/jquery-mobile,JavaScript,9,1,0.069068605,124.8857143,1.571428571,1,0,0.986899563,0.230769231,1,288976,70,project
flot/flot,JavaScript,7,1,0.07071721,7.201342282,8.704697987,1,0,0.787969925,0.128284389,0,94430,70,project
zsh-users/zsh-syntax-highlighting,Shell,4,1,0.597134289,11.07758621,4.663793103,1,0,0.919881306,0.03125,1,12090,50,project
getpelican/pelican,Python,57,0,0.079435854,28.21666667,0.225,1,0.252721842,0.977753059,0,1,58222,70,project
aparo/pyes,Python,20,0,0.320105422,14.27160494,2.679012346,1,0.218658892,1,0,1,36116,70,project
chef-cookbooks/chef-client,Ruby,35,1,0.105988593,12.65517241,1.974137931,1,0.306122449,0.997419355,0.666666667,1,7524,80,project
lift/framework,Scala,13,1,0.314368659,30.46875,1.0625,1,0,0.996563574,0.3,1,178548,70,project
apache/hbase,Java,38,0,0.206903452,111.757764,0.844720497,1,0.377769155,0,0,0,1878492,65,project
apache/buildr,Ruby,5,1,0.182274172,29.41610738,0.315436242,1,0.499564473,0.987654321,0,1,72058,70,project
ruckus/ruckusing-migrations,PHP,7,1,0.350043215,2.732758621,0.672413793,1,0.336477987,0.984848485,0.863636364,0,15040,60,project
ajaxorg/ace,JavaScript,17,0,0,63.016,5.512,1,0,0,0.174672489,0,0,55,project
nathanmarz/storm-starter,Java,4,0,0.13362069,4,1.066666667,1,0.355319984,0.913043478,0,0,6432,50,project
cloudera/crunch,Java,3,0,0.256899674,32.08333333,0.25,1,0.248698281,1,0,1,41034,50,project
celery/celery,Python,6,1,0.161722118,83.35294118,2.941176471,1,0.434055591,0,0.02245509,1,151678,75,project
yandex/yandex-tank,Python,6,1,0.109085411,35.69791667,1.666666667,1,0.001535018,0.996194825,0.04,0,41244,70,project
rvirding/lfe,Erlang,3,1,0.21234784,7.083333333,1.638888889,1,0,0.968531469,0,0,39600,40,project
tinkerpop/blueprints,Java,5,1,0.063784738,19.62222222,1.911111111,1,0.154574889,0.978723404,0,1,148568,60,project
apache/hadoop,Java,69,0,0.160976364,179.2074074,2.37037037,1,0.425243366,0.736408567,0.006915629,0,6882380,80,project
Neohapsis/bbqsql,Python,3,0,0.243159753,3.144578313,0.614457831,1,0.013707572,0.875,0,0,3430,50,project
libffi/libffi,C,12,1,0.202755084,5.393129771,1.095419847,1,0.083894294,0.959615385,0,1,106952,70,project
schneems/wicked,Ruby,5,1,0.046346173,3.273684211,1.863157895,1,0.647173489,0.980519481,0.333333333,1,18766,70,project
poiati/gmongo,Groovy,1,1,0.069888961,2.403508772,0.438596491,1,0,0.933333333,0.166666667,0,2848,30,project
qos-ch/logback,Java,2,1,0.202716832,23.26470588,2.9,1,0.341514579,0.771851852,0,1,199788,50,project
twitter/algebird,Scala,28,1,0.161708924,17.04123711,2.350515464,1,0,0.975609756,0.8,0,75582,70,project
banjiewen/bernhard,Python,5,0,0.030917874,0.805970149,0.134328358,1,0,0.871794872,0,0,2006,30,project
apache/commons-codec,Java,5,1,0.378123583,9.870192308,0.278846154,1,0.600829076,0.848101266,0.25,1,52112,80,project
vicalloy/LBForum,Python,2,0,0.131175762,3.740740741,0.296296296,1,0.018374558,0.962962963,0,0,10094,50,project
fontmatrix/fontmatrix,C++,2,0,0.089960408,8.565217391,0.144927536,1,0.05626461,0.818181818,0,0,277664,50,project
danlarkin/subrosa,Clojure,1,0,0.009033424,7.5,0.071428571,1,0,0.9,0,1,4388,30,project
joto/osmium,C++,1,0,0.229519595,13.74242424,0.681818182,1,0.201141489,0.988764045,0,0,24378,50,project
damnhandy/Handy-URI-Templates,Java,1,1,0.346162305,5.154639175,0.412371134,1,0.497663551,1,0,0,11892,50,project
TrigonicSolutions/gradle-rpm-plugin,Groovy,2,0,0.136939983,3.310344828,1.068965517,1,0,0.98,0.636363636,0,2042,50,project
apache/tika,Java,8,0,0.244881682,29.98136646,2.211180124,1,0.279667382,0.89194499,0,0,348398,70,project
vsbuffalo/scythe,C,2,0,0.125329815,3.022727273,0.522727273,1,0.574074074,0.888888889,0,0,2652,30,project
alexvollmer/itunes-connect,Ruby,3,0,0.057512581,1.78125,0.09375,1,0.469870328,1,0,0,2622,20,project
ning/compress,Java,3,0,0.078343593,2.960784314,0.323529412,1,0.16548658,0.923076923,0,0,49410,30,project
apache/qpid-proton,C++,10,1,0.265629391,41.84158416,2.613861386,1,0.424530684,0.952247191,0.6,1,198612,80,project
riptano/cassandra-dtest,Python,15,1,0.215706635,72.47826087,1.637681159,1,0.479749646,0,0,0,105740,65,project
erichexter/twitter.bootstrap.mvc,C#,3,0,0.088701162,7.172413793,1.931034483,1,0,0.987654321,0,0,5178,40,project
50onRed/mock-jedis,Java,4,0,0.016100179,1.830769231,0.261538462,1,0.074090028,0.857142857,0.833333333,1,9900,30,project
viadeo/tetra-ui,CSS,3,0,0.011460133,17.86206897,2.224137931,1,0,0.989361702,0,0,162512,30,project
yandex-qatools/htmlelements,Java,6,0,0.222377232,5.443181818,0.965909091,1,0.326434196,0.94214876,0,0,11148,70,project
apache/opennlp,Java,4,1,0.205492795,16.33043478,3.27826087,1,0.194654424,0.974637681,0,1,275694,50,project
spotify/luigi,Python,75,1,0.225053699,37.38095238,8.238095238,1,0.62726448,0,0.25,0,90196,75,project
Needlworks/Textcube,PHP,3,1,0.077204759,43.97368421,1.421052632,1,0,0.972222222,0.071823204,1,724756,50,project
adyliu/zkclient,Java,2,1,0.308894231,0.882352941,0.105882353,1,0.225332068,1,0,1,4600,30,project
mirah/dubious,Mirah,4,0,0.050176056,15.93333333,1.6,1,0,1,0,0,12948,30,project
dominictarr/map-reduce,JavaScript,1,1,0.047256098,4.140625,0.1875,1,0,1,0.266666667,0,1250,40,project
lvc/abi-compliance-checker,Perl,2,0,0.032977379,2.145833333,0.864583333,1,0,0.853658537,0,0,78060,10,project
apache/cordova-docs,JavaScript,34,1,0.00112589,24.10526316,0.796992481,1,0,0.988422576,0.00041658,0,1410626,50,project
cppforlife/checkman,Objective-C,7,1,0.066596565,4.341463415,0.365853659,1,0,0.909090909,1,0,26630,60,project
django-import-export/django-import-export,Python,16,1,0.182424118,12.72043011,7.483870968,1,0.814464055,0.987951807,0.564102564,0,15946,80,project
cheggaaa/pb,Go,17,1,0.094576543,3.239130435,0.815217391,1,0,0.994186047,1,0,6778,70,project
rtens/mockster,PHP,1,1,0.203964926,5.413043478,0.173913043,1,0.483350151,1,0.8,0,4176,60,project
jmxtrans/jmxtrans,Java,25,1,0.247798249,12.3826087,2.495652174,1,0.389264698,0.962962963,0,1,57566,70,project
nanoc/nanoc,Ruby,1,0,0.088611853,42.4,3.70625,0,0.551269087,0.998781231,0.058823529,0,86704,60,project
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,Jupyter Notebook,18,0,0.720400447,12.01111111,2.4,1,0,0.927756654,0,0,23516,60,project
bkabrda/flask-whooshee,Python,5,1,0.231298761,1.986486486,0.405405405,1,0.588043478,1,0,0,3350,50,project
alibaba/canal,Java,9,1,0.160589226,19.85714286,4.385714286,1,0.095075264,0.96657754,0.105263158,1,206396,80,project
alibaba/druid,Java,4,1,0.159900374,54.94642857,0,1,0.389853438,0.968717414,1,0,642898,55,project
JakeWharton/butterknife,Java,6,1,0.054336092,11.41573034,1.033707865,1,0.609006702,0.977190876,0.466666667,1,31536,70,project
Governance/rtgov,Java,2,0,0.242357868,25.19565217,7.456521739,1,0.365655631,1,0.005952381,0,172950,60,project
eugenp/tutorials,Java,171,0,0.063406054,231.1818182,4.681818182,1,0.407714888,0,0,0,2209678,55,project
opsmekanix/Apache-Hadoop-WebHDFS,Perl,2,0,0.209889001,0.742857143,0.057142857,1,0,1,0,0,1566,20,project
blueriver/MuraUserBridge,ColdFusion,1,0,0.084375,0.595744681,0.063829787,1,0,1,0,0,1172,20,project
xdress/xdress,Python,2,0,0.265472682,16.81132075,3.056603774,1,0.24408621,0.937219731,0,0,77760,50,project
cqlengine/cqlengine,Python,5,1,0.180040733,29,3.536585366,1,0.316163668,1,0.5,0,16104,80,project
Reactive-Extensions/RxJS-DOM,JavaScript,5,1,0.081121483,5.083333333,1.520833333,1,0,0.941666667,0.517241379,1,55322,70,project
apache/cordova-plugin-camera,Objective-C,33,1,0.170160163,7.359550562,2.865168539,1,0.201058201,0.956439394,0.015759312,0,15440,80,project
jashkenas/underscore,JavaScript,21,1,0.018275252,20.17692308,0.223076923,1,0,0.969986357,0.251233263,1,227338,60,project
grncdr/guacamole-auth-hmac,Java,3,1,0.073899371,0.837209302,0.209302326,1,0.404255319,0.8,0,0,1178,30,project
apache/logging-log4j2,Java,7,0,0.292197769,90.87804878,3.308943089,1,0.353805429,0.963167587,0,0,444790,70,project
scala/scala-xml,Scala,10,1,0.269839606,6.838095238,0.676190476,1,0,0.978181818,0.93877551,0,13930,70,project
PyMySQL/PyMySQL,Python,9,1,0.170181097,7.037313433,3.873134328,1,0.262354152,0.996904025,0.041666667,1,13380,80,project
nquinlan/jekyll-pageless-redirects,Ruby,4,0,0.263959391,0.636363636,0.363636364,1,0,1,0,0,290,20,project
checkstyle/checkstyle,Java,16,1,0.217394329,41.84347826,2.560869565,1,0.292211673,0,0.2,1,652582,75,project
druid-io/pydruid,Python,19,1,0.224204525,3.085365854,0.951219512,1,0.109002013,0.960854093,1,0,8436,80,project
amplab/graphx,Scala,32,1,0.269579925,138.375,1.104166667,1,0,0.965116279,0.625,0,211610,70,project
mapbox/node-sqlite3,PLpgSQL,7,1,0.022506905,9.906976744,8.620155039,1,0,0.941451991,0.637362637,0,33268,60,project
stephenjudkins/pureimage,Scala,2,0,0.023121387,1.857142857,0.428571429,1,0,1,0,0,1014,10,project
apache/commons-jexl,Java,5,1,0.289637874,8.013636364,0.095454545,1,0.489787035,0.862068966,0,1,67402,70,project
cloudfoundry/cf-java-client,Java,5,0,0.30404713,42.21495327,6.401869159,1,0.652048508,0.984496124,0.027777778,0,248554,80,project
stratosphere/bigdataclass.org,Java,4,0,0.329984135,2.111111111,0.777777778,1,0,0.923076923,0,0,2534,20,project
vlado/rails_db_info,Ruby,1,1,0.20768527,5.15,0.5,1,0.495412844,1,0.571428571,0,1732,60,project
mitre/HTTP-Proxy-Servlet,Java,7,1,0.177451972,2.425287356,1.264367816,1,0.521258503,0.878787879,0,0,3254,50,project
piface/libmcp23s17,C,2,0,0.256880734,1.55,0.2,1,0,0.8,0,0,810,20,project
stackmate/stackmate,Ruby,2,0,0.004588483,11.53846154,0.307692308,1,0.0216934,1,0,0,103262,40,project
HotswapProjects/HotswapAgent,Java,3,1,0.368406179,9.6375,3.4125,1,0.050367815,0.994252874,1,1,147510,60,project
stephenharris/grunt-pot,JavaScript,2,1,0.131889764,1,0.53125,1,0,0.666666667,0.111111111,1,882,30,project
jekyll/jekyll,Ruby,29,1,0.061875102,78.02816901,0.605633803,1,0.013360176,0,0.171428571,0,91576,65,project
karpathy/convnetjs,JavaScript,3,0,0.098716887,2.617647059,2.117647059,1,0,0.610169492,0,0,17420,20,project
apache/couchdb-documentation,Python,31,1,0.447106514,12.6344086,1.043010753,1,0,0.993296089,0,1,39554,60,project
Laverna/laverna,JavaScript,3,1,0.165175964,30.87037037,14.2962963,1,0,0.975845411,0.030612245,1,54322,50,project
apache/cloudstack-docs-admin,HTML,11,0,0.263241223,3.666666667,0,1,0,0.986486486,0,0,160080,55,project
petems/puppet-install-shell,Shell,7,1,0.069368132,3.125,0.555555556,1,0,0.97740113,0.3125,0,2710,70,project
msealand/z85.node,JavaScript,2,1,0.025735294,1.875,0.125,1,0,0.8,0.3,0,530,20,project
resty-gwt/resty-gwt,Java,10,1,0.287592408,7.09375,1.625,1,0.089830726,0.966292135,0,1,35656,70,project
continuumsecurity/nessus-java-client,Java,3,0,0.073318216,1.027027027,0.054054054,1,0.162236988,1,0,0,4904,30,project
dellsystem/github-streak-saver,Python,1,0,0.053333333,1.7,0,1,0,1,0,0,142,5,project
virtphp/virtphp,PHP,3,1,0.351714709,15.65,2,1,0.643657817,0.9,0.363636364,0,11380,60,project
patternfly/angular-patternfly,JavaScript,12,1,0.260969152,16.69230769,3.892307692,1,0,0.986124876,0.994996549,1,70338,70,project
thekrakken/java-grok,Java,4,1,0.10072854,4.065789474,0.552631579,1,0.610089021,0.96969697,0.7,0,5678,60,project
ibm-messaging/mqlight-sentiment-sample,PHP,2,0,0.038396928,2.818181818,0,1,0,1,0.571428571,0,8014,15,project
tobert/effio,JavaScript,1,0,0.077562039,12.29411765,0.117647059,1,0,1,0.555555556,0,17768,50,project
